subj,run,set,block,cond,rules,af,mean_accu,median_rt,block1_correct,block2_correct,members,F1Ans,F2Ans,F3Ans,LatentF,ExpectedB1F,B1_t0,B1_t1,B1_t2,B1_t3,B1_t4,B1_t5,B1_t6,B1_t7,B1_t8,B1_t9,B1_t10,B1_t11,B1_t12,B1_t13,B2_t0,B2_t1,B2_t2,B2_t3,B2_t4,B2_t5,B2_t6,B2_t7,B2_t8,B2_t9,B2_t10,B2_t11,B2_t12,B2_t13,B2_t14,B2_t15,group_n
sub-CGAY245,5,8,1,Preserve,1R,0,0.9285714285714286,0.7353467501234263,1.0,1.0,"[sub-CGAY245, 5, 8, 1, Preserve, 1R, 0, 0.928571, 0.735347, 1.0, 1.0]",0,1,1,0_1_1,0_1_1,B1_t0_0,B1_t1_1,B1_t2_1,B1_t3_1,B1_t4_1,B1_t5_1,B1_t6_1,B1_t7_1,B1_t8_1,B1_t9_1,B1_t10_1,B1_t11_1,B1_t12_1,B1_t13_1,,,,,,,,,,,,,,,,,280
sub-CGAY245,5,8,2,Preserve,1R,0,1.0,0.7496088999323547,1.0,1.0,"[sub-CGAY245, 5, 8, 2, Preserve, 1R, 0, 1.000000, 0.749609, 1.0, 1.0]",0,1,1,0_1_1,0_1_1,,,,,,,,,,,,,,,B2_t0_1,B2_t1_1,B2_t2_1,B2_t3_1,B2_t4_1,B2_t5_1,B2_t6_1,B2_t7_1,B2_t8_1,B2_t9_1,B2_t10_1,B2_t11_1,B2_t12_1,B2_t13_1,B2_t14_1,B2_t15_1,280
sub-CGAY245,5,9,1,Expand,2R,0,1.0,0.7560818500351161,1.0,1.0,"[sub-CGAY245, 5, 9, 1, Expand, 2R, 0, 1.000000, 0.756082, 1.0, 1.0]",1,1,0,1_1_0,0_1_0,B1_t0_1,B1_t1_1,B1_t2_1,B1_t3_1,B1_t4_1,B1_t5_1,B1_t6_1,B1_t7_1,B1_t8_1,B1_t9_1,B1_t10_1,B1_t11_1,B1_t12_1,B1_t13_1,,,,,,,,,,,,,,,,,280
sub-CGAY245,5,9,2,Expand,2R,0,0.9375,0.7293690999504179,1.0,1.0,"[sub-CGAY245, 5, 9, 2, Expand, 2R, 0, 0.937500, 0.729369, 1.0, 1.0]",1,1,0,1_1_0,0_1_0,,,,,,,,,,,,,,,B2_t0_0,B2_t1_1,B2_t2_1,B2_t3_1,B2_t4_1,B2_t5_1,B2_t6_1,B2_t7_1,B2_t8_1,B2_t9_1,B2_t10_1,B2_t11_1,B2_t12_1,B2_t13_1,B2_t14_1,B2_t15_1,280
sub-CGAY246,2,2,1,Expand,2R,0,0.9285714285714286,0.7995744500076398,1.0,1.0,"[sub-CGAY246, 2, 2, 1, Expand, 2R, 0, 0.928571, 0.799574, 1.0, 1.0]",1,0,1,1_0_1,1_0_0,B1_t0_0,B1_t1_1,B1_t2_1,B1_t3_1,B1_t4_1,B1_t5_1,B1_t6_1,B1_t7_1,B1_t8_1,B1_t9_1,B1_t10_1,B1_t11_1,B1_t12_1,B1_t13_1,,,,,,,,,,,,,,,,,280
sub-CGAY246,2,2,2,Expand,2R,0,0.9375,0.7117077000439167,1.0,1.0,"[sub-CGAY246, 2, 2, 2, Expand, 2R, 0, 0.937500, 0.711708, 1.0, 1.0]",1,0,1,1_0_1,1_0_0,,,,,,,,,,,,,,,B2_t0_0,B2_t1_1,B2_t2_1,B2_t3_1,B2_t4_1,B2_t5_1,B2_t6_1,B2_t7_1,B2_t8_1,B2_t9_1,B2_t10_1,B2_t11_1,B2_t12_1,B2_t13_1,B2_t14_1,B2_t15_1,280
sub-CGAY246,3,4,1,Preserve,1R,0,0.6428571428571429,0.9010562000330538,1.0,1.0,"[sub-CGAY246, 3, 4, 1, Preserve, 1R, 0, 0.642857, 0.901056, 1.0, 1.0]",1,0,1,1_0_1,1_0_1,B1_t0_0,B1_t1_0,B1_t2_1,B1_t3_0,B1_t4_1,B1_t5_0,B1_t6_1,B1_t7_1,B1_t8_1,B1_t9_0,B1_t10_1,B1_t11_1,B1_t12_1,B1_t13_1,,,,,,,,,,,,,,,,,280
sub-CGAY246,3,4,2,Preserve,1R,0,1.0,0.7466256500920281,1.0,1.0,"[sub-CGAY246, 3, 4, 2, Preserve, 1R, 0, 1.000000, 0.746626, 1.0, 1.0]",1,0,1,1_0_1,1_0_1,,,,,,,,,,,,,,,B2_t0_1,B2_t1_1,B2_t2_1,B2_t3_1,B2_t4_1,B2_t5_1,B2_t6_1,B2_t7_1,B2_t8_1,B2_t9_1,B2_t10_1,B2_t11_1,B2_t12_1,B2_t13_1,B2_t14_1,B2_t15_1,280
sub-CGAY246,3,5,1,Preserve,1R,0,0.9285714285714286,0.7219744500471279,1.0,1.0,"[sub-CGAY246, 3, 5, 1, Preserve, 1R, 0, 0.928571, 0.721974, 1.0, 1.0]",1,0,0,1_0_0,1_0_0,B1_t0_1,B1_t1_1,B1_t2_0,B1_t3_1,B1_t4_1,B1_t5_1,B1_t6_1,B1_t7_1,B1_t8_1,B1_t9_1,B1_t10_1,B1_t11_1,B1_t12_1,B1_t13_1,,,,,,,,,,,,,,,,,280
sub-CGAY246,3,5,2,Preserve,1R,0,1.0,0.6958537000464275,1.0,1.0,"[sub-CGAY246, 3, 5, 2, Preserve, 1R, 0, 1.000000, 0.695854, 1.0, 1.0]",1,0,0,1_0_0,1_0_0,,,,,,,,,,,,,,,B2_t0_1,B2_t1_1,B2_t2_1,B2_t3_1,B2_t4_1,B2_t5_1,B2_t6_1,B2_t7_1,B2_t8_1,B2_t9_1,B2_t10_1,B2_t11_1,B2_t12_1,B2_t13_1,B2_t14_1,B2_t15_1,280
